filename,text,type,slug
"Ese_hombre_tiene_gran_conocimiento_en_arquitectura,_es_ágil_trabajando.m4v","Ese hombre tiene gran conocimiento en arquitectura, es ágil trabajando","example","agil"
"Arreglar.m4v","Arreglar","word","arreglar"
"Componer_una_cosa_para_que_se_vea_o_funcione_mejor.m4v","Componer una cosa para que se vea o funcione mejor.","definition","arreglar"
"Ellos_dos_van_en_el_carro_y_se_para.__Vamos__los_dos_a_arreglarlo._El_carro_queda_perderlo_y_siguen_el_viaje.m4v","Ellos dos van en el carro y se para.  Vamos  los dos a arreglarlo. El carro queda perderlo y siguen el viaje.","example","arreglar"
"Adelante.m4v","Adelante","word","adelante"
"Vehículo_de_motor_que_se_desplaza_sobre_cuatro_llantas_y_sirve_para_transportar_hasta_cinco_o_seis_personas.m4v","Vehículo de motor que se desplaza sobre cuatro llantas y sirve para transportar hasta cinco o seis personas","definition","adelante"
"Mi_amigo_vio_un_carro_fino_y_costoso_y_pensó_que_era_muy_caro.__Luego,_vio_un_carro_más_modesto.__Los_comparó_y_decidió_que_era_mejor_comprar_el_carro_más_económico._Lo_compró_y_le_dieron_las_l.m4v","Mi amigo vio un carro fino y costoso y pensó que era muy caro.  Luego, vio un carro más modesto.  Los comparó y decidió que era mejor comprar el carro más económico. Lo compró y le dieron las llaves.","example","adelante"
"Antena_Parabólica.mp4","Antena Parabólica","word","antena-parabolica"
"Aparato_de_televisión_que_permite_captar_emisoras_y_canales_situados_a_gran_distancia.mp4","Aparato de televisión que permite captar emisoras y canales situados a gran distancia.","definition","antena-parabolica"
"En_el_edificio_se_dañó_la_antena_parabólica_debido_a_la_lluvia_y_a_un_rayo,_lo_que_interrumpió_la_señal_de_televisión.mp4","En el edificio se dañó la antena parabólica debido a la lluvia y a un rayo, lo que interrumpió la señal de televisión.","example","antena-parabolica"
"Arveja.m4v","Arveja","word","arveja"
"Fruto_leguminoso_comestible,_alargado_que_viene_dentro_de_una_cáscara_verde.m4v","Fruto leguminoso comestible, alargado que viene dentro de una cáscara verde.","definition","arveja"
"La_ensalada_tiene_papa_y_zanahoria,_pero_no_tiene_arvejas.m4v","La ensalada tiene papa y zanahoria, pero no tiene arvejas.","example","arveja"
"Aguacate.m4v","Aguacate","word","aguacate"
"Fruto_comestible_que_tiene_forma_ovalada,_de_cáscara_verde,_con_una_sola_semilla_en_forma_de_huevo_y_pulpa_verdosa_y_suave.m4v","Fruto comestible que tiene forma ovalada, de cáscara verde, con una sola semilla en forma de huevo y pulpa verdosa y suave.","definition","aguacate"
"La_empleada_hizo_una_ensalada_de_aguacate_muy_rica.m4v","La empleada hizo una ensalada de aguacate muy rica.","example","aguacate"
"Acompañar.m4v","Acompañar","word","acompanar"
"Ir_o_estar_una_persona_con_otra.m4v","Ir o estar una persona con otra.","definition","acompanar"
"Mi_amiga_me_acompaño_a_la_casa_y_conversamos.m4v","Mi amiga me acompaño a la casa y conversamos.","example","acompanar"
"Armario.mp4","Armario","word","ascensor"
"Aparato_de_movimiento_vertical_que_transporta_personas_o_cosas_a_los_diferentes_pisos_de_un_edificio.mp4","Aparato de movimiento vertical que transporta personas o cosas a los diferentes pisos de un edificio.","definition","ascensor"
"En_caso_de_incendio,_se_le_aconseja_no_utilizar_el_ascensor_sino_más_bien_las_escaleras.mp4","En caso de incendio, se le aconseja no utilizar el ascensor sino más bien las escaleras","example","ascensor"
"Abrigo.mp4","Abrigo","word","abrigo-2"
"Prenda_de_vestir_de_tela_gruesa_que_se_usa__para_protegerse_del_frio_del_ambiente_y_brinda_calor.mp4","Prenda de vestir de tela gruesa que se usa  para protegerse del frio del ambiente y brinda calor.","definition","abrigo-2"
"Aquí_está_haciendo_mucho_frio,_busco_en_el_armario_un_abrigo,_me_lo_pongo_y_siento_calor.mp4","Aquí está haciendo mucho frio, busco en el armario un abrigo, me lo pongo y siento calor.","example","abrigo-2"
"Agregar.m4v","Agregar","word","agregar"
"Decir_o_hacer_algo_más_o_añadirlo_a_lo_que_ya_se_había_dicho_o_hecho.m4v","Decir o hacer algo más o añadirlo a lo que ya se había dicho o hecho.","definition","agregar"
"Yo_leí_la_carta,_por_favor_agregue_mas_frases_y_la_firma.m4v","Yo leí la carta, por favor agregue mas frases y la firma.","example","agregar"
"Alicate.mp4","Alicate","word","alicate"
"Tenaza_pequeña_con_dos_prolongaciones_dentadas_de_acero_que_sirve_para_coger,_torcer_o_apretar_objetos.mp4","Tenaza pequeña con dos prolongaciones dentadas de acero que sirve para coger, torcer o apretar objetos.","definition","alicate"
"Necesito_un_alicate_para_apretar_una_tuerca_del_puño_acelerador_de_mi_motocicleta.mp4","Necesito un alicate para apretar una tuerca del puño acelerador de mi motocicleta.","example","alicate"
"Afuera.m4v","Afuera","word","afuera"
"En_la_parte_exterior_de_algo_o_de_un_lugar.m4v","En la parte exterior de algo o de un lugar.","definition","afuera"
"Mientras_hago_mercado,_mi_perro_está_afuera_porque_está_prohibida_su_entrada,_con_resignación_sigo_haciendo_las_compras.m4v","Mientras hago mercado, mi perro está afuera porque está prohibida su entrada, con resignación sigo haciendo las compras.","example","afuera"
"Árbitro.m4v","Árbitro","word","arbitro"
"Persona_encargada_de_hacer_cumplir_el_reglamento_en_lascompetencias_deportivas.m4v","Persona encargada de hacer cumplir el reglamento en las
competencias deportivas.","definition","arbitro"
"En_el_juego_de_voleibol_hay_dos_equipos_y_un_árbitro_que_supervisa._En_un_momento_en_el_partido_la_pelota_pegó_en_la_red_y_alcanzó_a_pasar._El_árbitro_informó_que_el_punto_lo_ganó_el_equipo_que.m4v","En el juego de voleibol hay dos equipos y un árbitro que supervisa. En un momento en el partido la pelota pegó en la red y alcanzó a pasar. El árbitro informó que el punto lo ganó el equipo que lanzó el balón.","example","arbitro"
"Ambulancia.m4v","Ambulancia","word","ambulancia"
"Vehículo_utilizado_para_el_transporte_de_personas_enfermas.m4v","Vehículo utilizado para el transporte de personas enfermas.","definition","ambulancia"
"Yo_vi_que_mi_jefa_se_desmayó_y_se_cayó._Llamé_a_urgencias_y_llegó_una_ambulancia_y_se_la_llevó._Yo_quedé_tranquilo.m4v","Yo vi que mi jefa se desmayó y se cayó. Llamé a urgencias y llegó una ambulancia y se la llevó. Yo quedé tranquilo.","example","ambulancia"
"Abandonar.m4v","Abandonar","word","abandonar"
"Dejar_algo_sin_cuidado_o_a_alguien_sin_atención.m4v","Dejar algo sin cuidado o a alguien sin atención.","definition","abandonar"
"En_la_casa_de_al_lado_dejaron_abandonado_un_perrito._Que_pesar.m4v","En la casa de al lado dejaron abandonado un perrito. Que pesar.","example","abandonar"
"Ayudar.m4v","Ayudar","word","ayudar"
"Colaborar_a_alguien_para_que_pueda_alcanzar_un_fin.m4v","Colaborar a alguien para que pueda alcanzar un fin.","definition","ayudar"
"Una_mujer_estaba_de_compras_y_le_empacaron_sus_compras_en_dos_bolsas_que_quedaron_muy_pesadas._Se_encontró_con_una_amiga_que_le_ayudó_a_cargar_una_bolsa._Se_sintió_aliviada_y_así_llegó_a_la_casa.m4v","Una mujer estaba de compras y le empacaron sus compras en dos bolsas que quedaron muy pesadas. Se encontró con una amiga que le ayudó a cargar una bolsa. Se sintió aliviada y así llegó a la casa.","example","ayudar"
"Abajo.m4v","Abajo","word","abajo"
"En_la_parte_inferior_del_lugar_donde_se_encuentra_ubicado_el_hablante.m4v","En la parte inferior del lugar donde se encuentra ubicado el hablante.","definition","abajo"
"El_niño_pequeño_pregunta_a_su_hermano_¿Dónde_está_mamá_El_hermano_responde_abajo_en_el_primer_piso.m4v","El niño pequeño pregunta a su hermano: ""¿Dónde está mamá?"" El hermano responde: ""abajo en el primer piso"".","example","abajo"
"Aspiradora.mp4","Aspiradora","word","aspiradora"
"Electrodoméstico_que_sirve_para_limpiar_el_polvo_absorbiéndolo.mp4","Electrodoméstico que sirve para limpiar el polvo absorbiéndolo.","definition","aspiradora"
"Me_da_pereza_barrer,_mejor_me_compro_una_aspiradora_que_es_más_rápido.mp4","Me da pereza barrer, mejor me compro una aspiradora que es más rápido.","example","aspiradora"
"Algodón.mp4","Algodón","word","algodon"
"Material_fibroso_suave,_generalmente_blanco,_de_aspecto_esponjoso_que_se_utiliza_en_la_industria_textil,_cosmética_e_higiénica.mp4","Material fibroso suave, generalmente blanco, de aspecto esponjoso que se utiliza en la industria textil, cosmética e higiénica.","definition","algodon"
"La_enfermera_vio_a_una_persona_con_heridas_en_el_cuerpo,_cogió_el_algodón,_le_echó_un_líquido_y_le_limpio_las_heridas.mp4","La enfermera vio a una persona con heridas en el cuerpo, cogió el algodón, le echó un líquido y le limpio las heridas.","example","algodon"
"Arriba.m4v","Arriba","word","arriba"
"En_la_parte_alta_o_superior.m4v","En la parte alta o superior.","definition","arriba"
"Una_persona_pregunta_¿Dónde_está__mamá_Mi_mamá_está_arriba.m4v","Una persona pregunta: ¿Dónde está  mamá? Mi mamá está arriba.","example","arriba"
"Aceptar.m4v","Aceptar","word","aceptar"
"Recibir_o_tomar_alguien,_de_manera_voluntaria,_lo_que_se_le_ofrece_o_da.m4v","Recibir o tomar alguien, de manera voluntaria, lo que se le ofrece o da.","definition","aceptar"
"El_jefe_me_mandó_que_debo_trabajar_todos_los_sábados_y_yo_acepte.m4v","El jefe me mandó que debo trabajar todos los sábados y yo acepte.","example","aceptar"
"Amor.m4v","Amor","word","amor"
"Sentimiento_de_afecto,_ternura_y_solidaridad_por_alguien_o_algo.m4v","Sentimiento de afecto, ternura y solidaridad por alguien o algo.","definition","amor"
"Yo_amo_a_mi_hija_y_la_consiento.m4v","Yo amo a mi hija y la consiento","example","amor"
"Allá.m4v","Allá","word","alla"
"En_un_lugar_lejano_de_la_persona_que_habla.m4v","En un lugar lejano de la persona que habla.","definition","alla"
"Mi_mamá_vive_allá,_en_la_finca.m4v","Mi mamá vive allá, en la finca.","example","alla"
"Aburrido.m4v","Aburrido","word","aburrido"
"Que_siente_cansancio_e_indiferencia_por_algo_o_por_alguien.m4v","Que siente cansancio e indiferencia por algo o por alguien.","definition","aburrido"
"Yo_trabajo_en_una_empresa,_el_jefe_me_la_tiene_velada._Estoy_muy_aburrida_y_voy_a_renunciar.m4v","Yo trabajo en una empresa, el jefe me la tiene velada. Estoy muy aburrida y voy a renunciar.","example","aburrido"
"Avenida.m4v","Avenida","word","avenida"
"Calle_ancha,_generalmente_de_mucho_tránsito,_en_la_que_desembocan_vías_más_pequeñas.m4v","Calle ancha, generalmente de mucho tránsito, en la que desembocan vías más pequeñas.","definition","avenida"
"Yo_conducía_mi_carro_en_un_trancón_y_pensé_que_era_mejor_ir_por_la_avenida_que_quedaba_a_la_derecha,_entonces_di_la_vuelta_hacia_allá.m4v","Yo conducía mi carro en un trancón y pensé que era mejor ir por la avenida que quedaba a la derecha, entonces di la vuelta hacia allá.","example","avenida"
"Aquí.m4v","Aquí","word","aqui"
"En_el_lugar_preciso_en_donde_está_el_que_habla_o_muy_cerca_de_él.m4v","En el lugar preciso en donde está el que habla o muy cerca de él.","definition","aqui"
"Aquí_en_esta_casa,_mi_papá_vive_hace_muhco_tiempo.m4v","Aquí en esta casa, mi papá vive hace muhco tiempo.","example","aqui"
"Alma.m4v","Alma","word","alma"
"Parte_espiritual_del_ser_humano.m4v","Parte espiritual del ser humano.","definition","alma"
"Un_niño_se_dirigió_caminando_hacia_la_iglesia,_al_llegar,_ingreso_y_se_sentó_en_una_silla_para_orar,_en_ese_momento_observó_que_el_sacerdote_estaba_diciendo_-_El_cuerpo_humano_puede_morir_pero_el.m4v","Un niño se dirigió caminando hacia la iglesia, al llegar, ingreso y se sentó en una silla para orar, en ese momento observó que el sacerdote estaba diciendo: - El cuerpo humano puede morir pero el alma no puede morir, es eterna.-  El niño pensó:- Eso que cuenta no lo sabía-. Agachó su cabeza y comenzó a orar.","example","alma"
"Almacén.m4v","Almacén","word","almacen"
"Establecimiento_comercial_en_el_que_se_venden_artículos_de_distintas_clases.m4v","Establecimiento comercial en el que se venden artículos de distintas clases.","definition","almacen"
"Yo_le_dije_a_mi_amiga_Vamos_al_almacén_a_comprar_verduras_que_están_baratas.m4v","Yo le dije a mi amiga: ""Vamos al almacén a comprar verduras que están baratas"".","example","almacen"
"Ahora.m4v","Ahora","word","ahora"
"En_este_momento,_en_la_actualidad.m4v","En este momento, en la actualidad.","definition","ahora"
"Ahora_para_las_personas_que_buscan_trabajo_es_difícil_encontrarlo.m4v","Ahora para las personas que buscan trabajo es difícil encontrarlo.","example","ahora"
"Aprovechar.m4v","Aprovechar","word","aprovechar"
"Sacar_ventaja_o_beneficio_de_algo,_o_utilizarlo_de_manera_conveniente.m4v","Sacar ventaja o beneficio de algo, o utilizarlo de manera conveniente.","definition","aprovechar"
"Fui_al_centro_comercial_y_vi_un_anuncio_de_rebaja_en_tiquetes_de_avión._Yo_aproveché_y_compré.m4v","Fui al centro comercial y vi un anuncio de rebaja en tiquetes de avión. Yo aproveché y compré.","example","aprovechar"
"Adentro.m4v","Adentro","word","adentro"
"En_el_interior_o_hacia_la_parte_interior_de_algo,_alguien_o_de_lugares.m4v","En el interior o hacia la parte interior de algo, alguien o de lugares.","definition","adentro"
"Hay_dinero_dentro_de_la_caja_fuerte.m4v","Hay dinero dentro de la caja fuerte","example","adentro"
"Armario.mp4","Armario","word","armario"
"Mueble_que_sirve_para_guardar_ropa_u_otras_cosas.mp4","Mueble que sirve para guardar ropa u otras cosas.","definition","armario"
"Vi_que_un_amigo_oyente_tiene_su_armario_muy_repleto_de_casas.mp4","Vi que un amigo oyente tiene su armario muy repleto de casas.","example","armario"
"Aprender.m4v","Aprender","word","aprender"
"Adquirir_un_conocimiento_por_medio_del_estudio_o_de_la_experiencia.m4v","Adquirir un conocimiento por medio del estudio o de la experiencia.","definition","aprender"
"Yo_vi_a_una_persona_sorda_señando_Lengua_de_Señas_Japonesa._Yo__quiero_aprenderla.m4v","Yo vi a una persona sorda señando Lengua de Señas Japonesa. Yo  quiero aprenderla.","example","aprender"
"Año.m4v","Año","word","ano"
"Periodo_de_tiempo_compuesto_por__doce_meses.m4v","Periodo de tiempo compuesto por  doce meses.","definition","ano"
"Llevo_trabajando_10_años._Ya_estoy_cansado._Voy_a_renunciar_y_me_voy_a_dedicar_a_estudiar_en_la_universidad.m4v","Llevo trabajando 10 años. Ya estoy cansado. Voy a renunciar y me voy a dedicar a estudiar en la universidad.","example","ano"
"Persona_que_guarda_una_relación_de_afecto,_cariño_y_solidaridad_con_otra.m4v","Persona que guarda una relación de afecto, cariño y solidaridad con otra.","definition","amigo"
"Una_persona_Iba_caminando_y_se_encontró_con_un_amigo_y_le_dijo_¡Hola!_y_le_dio_un_abrazo._Hace_tiempo_que_no_se_veían_y_cuando_se_encontraron_conversaron_mucho.m4v","Una persona Iba caminando y se encontró con un amigo y le dijo: ""¡Hola!"" y le dio un abrazo. Hace tiempo que no se veían y cuando se encontraron conversaron mucho.","example","amigo"
"Atención.m4v","Atención","word","atencion"
"Dedicación,_interés_y_concentración_con_que_se_hace_una_cosa.m4v","Dedicación, interés y concentración con que se hace una cosa.","definition","atencion"
"Yo_iba_manejando_el_carro_y_varias_personas__iban_atrás_conversando_y_me_llamaron.__Yo_les_dije_No,_es_importante_que_mantenga_la_atención_hacia_al_frente_y_seguí_conduciendo.m4v","Yo iba manejando el carro y varias personas  iban atrás conversando y me llamaron.  Yo les dije: ""No, es importante que mantenga la atención hacia al frente"" y seguí conduciendo.","example","atencion"
"Apagar_la_luz.mp4","Apagar la luz","word","apagar-la-luz"
"Interrumpir_o_suspender_el_funcionamiento_de_un_bombillo.mp4","Interrumpir o suspender el funcionamiento de un bombillo.","definition","apagar-la-luz"
"La_luz_del_baño_está_encendida,_por_lo_que_le_pedí_a_mi_hijo_que_fuera_a_apagar_la_luz.mp4","La luz del baño está encendida, por lo que le pedí a mi hijo que fuera a apagar la luz..","example","apagar-la-luz"
"A_veces.m4v","A veces","word","a-veces"
"En_algunas_ocasiones.m4v","En algunas ocasiones.","definition","a-veces"
"Mis_amigos_siempre_van_a_bailar,_pero_yo_asisto_solo_a_veces.m4v","Mis amigos siempre van a bailar, pero yo asisto solo a veces.","example","a-veces"
"Amable.m4v","Amable","word","amable"
"Que_trata_a_las_demás_personas_con_cortesía_y_educación.m4v","Que trata a las demás personas con cortesía y educación.","definition","amable"
"Yo_fui_a_un_pueblo_y_los_campesinos_que_aran_la_tierr,__eran_muy_amables.m4v","Yo fui a un pueblo y los campesinos que aran la tierr,  eran muy amables.","example","amable"
"Ajo.m4v","Ajo","word","ajo"
"Bulbo_comestible,_muy_usado_como_condimento,_de_olor_y_sabor_fuertes.m4v","Bulbo comestible, muy usado como condimento, de olor y sabor fuertes.","definition","ajo"
"Mi_abuela_al_preparar_la_sopa_le_echa_ajo_y_cebolla_cabezona_¡Le_queda_rica!.m4v","Mi abuela al preparar la sopa le echa ajo y cebolla cabezona ¡Le queda rica!","example","ajo"
"Almohada.mp4","Almohada","word","almohada"
"Bolsa_de_tela_rellena_de_algún_material_blando,_que_se_usa_para_apoyar_la_cabeza,_principalmente_en_la_cama.mp4","Bolsa de tela rellena de algún material blando, que se usa para apoyar la cabeza, principalmente en la cama.","definition","almohada"
"Mi_almohada_está_muy_vieja_e_inservible,_debo_desecharla_y_espero_comprarme_una_nueva.mp4","Mi almohada está muy vieja e inservible, debo desecharla y espero comprarme una nueva.","example","almohada"
"Apoyar.m4v","Apoyar","word","apoyar"
"Ayudar_a_alguien_para_que_logre_lo_que_se_propone.m4v","Ayudar a alguien para que logre lo que se propone.","definition","apoyar"
"Hay_varios_candidatos_para_la_presidencia_y_yo_apoyo_a_ese_con_el_voto.m4v","Hay varios candidatos para la presidencia y yo apoyo a ese con el voto.","example","apoyar"
"Apartamento.mp4","Apartamento","word","apartamento"
"Vivienda_situada_en_un_edificio_donde_existen_otras_del_mismo_tipo.mp4","Vivienda situada en un edificio donde existen otras del mismo tipo.","definition","apartamento"
"Mi_apartamento_es_muy_grande.mp4","Mi apartamento es muy grande.","example","apartamento"
"Aeropuerto.m4v","Aeropuerto","word","aeropuerto"
"Lugar_con_pistas_e_instalaciones_para_el_tráfico_y_mantenimiento_de_aviones.m4v","Lugar con pistas e instalaciones para el tráfico y mantenimiento de aviones.","definition","aeropuerto"
"Fui_al_aeropuerto_a_las_tres_a_esperar_a_mi_novio._Cuando_él_llegó,_nos_fuimos_juntos.m4v","Fui al aeropuerto a las tres a esperar a mi novio. Cuando él llegó, nos fuimos juntos.","example","aeropuerto"
"Boxeo.m4v","Boxeo","word","boxeo"
"Deporte_de_combate_en_el_que_se_enfrentan_doscontendientes_que_pelean_a_puños_empleando_unosguantes_especiales.m4v","Deporte de combate en el que se enfrentan dos
contendientes que pelean a puños empleando unos
guantes especiales.","definition","boxeo"
"A_mi_abuelo_le_fascina_asistir_siempre_a_competencias_de_boxeo,_él_apuesta_y_cuando_gana,_el_dinero_lo_ahorra.m4v","A mi abuelo le fascina asistir siempre a competencias de boxeo, él apuesta y cuando gana, el dinero lo ahorra.","example","boxeo"
"Buscar.m4v","Buscar","word","buscar"
"Intentar_encontrar_a_una_persona_o_una_cosa.m4v","Intentar encontrar a una persona o una cosa.","definition","buscar"
"Mi_hermano_se_arregló_y_ya_estaba_listo_cuando_se_acordó_de_que_le_faltaban_las_gafas._Las_buscó_y_no_las_encontró._Se_le_perdieron.m4v","Mi hermano se arregló y ya estaba listo cuando se acordó de que le faltaban las gafas. Las buscó y no las encontró. Se le perdieron.","example","buscar"
"Barrio.m4v","Barrio","word","barrio"
"Cada_una_de_las_zonas_en_que_se_divide_o_fragmenta_una_ciudad.m4v","Cada una de las zonas en que se divide o fragmenta una ciudad.","definition","barrio"
"Voy_en_bicicleta_y_miro_en_el_papel_que_el_barrio_queda_a_la_derecha_y_voy_para_allá.m4v","Voy en bicicleta y miro en el papel que el barrio queda a la derecha y voy para allá.","example","barrio"
"Batidora.mp4","Batidora","word","batidora"
"Electrodoméstico_usado_para_revolver_los_alimentos_hasta_volverlos_espesos.mp4","Electrodoméstico usado para revolver los alimentos hasta volverlos espesos.","definition","batidora"
"Como_mi_tío_vio_que_no_había_batidora_en_la_cocina,_y_él_pensó_en_comprar_una.mp4","Como mi tío vio que no había batidora en la cocina, y él pensó en comprar una.","example","batidora"
"Baloncesto.m4v","Baloncesto","word","baloncesto"
"Deporte_entre_dos_equipos_de_cinco_jugadores_que_tratan_de_meter_la_pelota_en_la_canasta_delcontrario_utilizando_solamente_las_manos.m4v","Deporte entre dos equipos de cinco jugadores que tratan de meter la pelota en la canasta del
contrario utilizando solamente las manos.","definition","baloncesto"
"Vi_a_un_campesino_con_gran_habilidad_para_jugar_baloncesto._Vi_como_driblaba_y_encestaba_el_balón.m4v","Vi a un campesino con gran habilidad para jugar baloncesto. Vi como driblaba y encestaba el balón.","example","baloncesto"
"Baño.mp4","Baño","word","bano"
"Lugar_de_una_construcción_en_la_que_hay_lavamanos,_sanitario_y_regadera_o_tina.mp4","Lugar de una construcción en la que hay lavamanos, sanitario y regadera o tina.","definition","bano"
"No_encuentro_mi_reloj,_ay_lo_dejé_en_el_baño.mp4","No encuentro mi reloj, ay lo dejé en el baño.","example","bano"
"Bandeja.mp4","Bandeja","word","bandeja"
"Pieza_plana_con_bordes,_que_sirve_para_llevar,_poner_o_servir_cosas.mp4","Pieza plana con bordes, que sirve para llevar, poner o servir cosas.","definition","bandeja"
"En_la_bandeja_puse_el_desayuno,_chocolate,_pan_y_huevo,_para_llevárselo_a_mi_novio.mp4","En la bandeja puse el desayuno, chocolate, pan y huevo, para llevárselo a mi novio.","example","bandeja"
"Biblia.m4v","Biblia","word","biblia"
"Libro_sagrado_del_cristianismo,_formado_por_los_libros_del_Antiguo_y_Nuevo_testamento.m4v","Libro sagrado del cristianismo, formado por los libros del Antiguo y Nuevo testamento.","definition","biblia"
"Al_tomar_la_biblia,_observo_que_es_un_libro_voluminoso,_de_pasta_dura,_tiene_muchas_palabras,_al_pasar_sus_páginas_veo_que_contiene_párrafos_organizados_en_capítulos_y_versículos,_sus_hojas_son_de.m4v","Al tomar la biblia, observo que es un libro voluminoso, de pasta dura, tiene muchas palabras, al pasar sus páginas veo que contiene párrafos organizados en capítulos y versículos, sus hojas son delgadas y de suave textura. La cierro, pienso que es un libro hermoso y lo pongo nuevamente en su lugar.","example","biblia"
"Botella.mp4","Botella","word","botella"
"Recipiente_cilíndrico,_de_cuello_estrecho,_generalmente_de_vidrio,_que_sirve_para_guardar_líquidos.mp4","Recipiente cilíndrico, de cuello estrecho, generalmente de vidrio, que sirve para guardar líquidos.","definition","botella"
"Mi_mamá_le_dijo_a_la_niña_que_buscara_la_botella_y_se_la_entregara.mp4","Mi mamá le dijo a la niña que buscara la botella y se la entregara.","example","botella"
"Bravo.m4v","Bravo","word","bravo"
